"Topic: Children by Age",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1980-2020 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","0-4 years","5-17 years","Share of population that are children (0-17)"
"Allston","1980","600","1764","0.11629279811098"
"Allston","1990","959","1494","0.106393129770992"
"Allston","2000","717","1505","0.0944928768870933"
"Allston","2010","678","1040","0.0643132557181896"
"Allston","2020","694","1070","0.0594582994456011"
"Allston","2024","742","869","0.0510052239987336"
"Allston","2025","758","842","0.050298648223829"
"Back Bay","1980","197","436","0.0345222513089005"
"Back Bay","1990","296","304","0.0359152400335209"
"Back Bay","2000","324","388","0.042683292368563"
"Back Bay","2010","524","426","0.0571531704969318"
"Back Bay","2020","462","686","0.0607939993270678"
"Back Bay","2024","562","454","0.0532997586821949"
"Back Bay","2025","524","450","0.0513090660064268"
"Beacon Hill","1980","205","471","0.0641244545627016"
"Beacon Hill","1990","217","318","0.0585339168490153"
"Beacon Hill","2000","235","345","0.0646671869773665"
"Beacon Hill","2010","292","384","0.0749196497838856"
"Beacon Hill","2020","261","472","0.0776337296233981"
"Beacon Hill","2024","256","420","0.0721143588649456"
"Beacon Hill","2025","235","423","0.0705478717701297"
"Brighton","1980","1318","3625","0.110013131245688"
"Brighton","1990","1729","2784","0.0955556967117661"
"Brighton","2000","1435","2828","0.0924067370428977"
"Brighton","2010","1480","2232","0.0768784690580731"
"Brighton","2020","1588","2802","0.0829624132185826"
"Brighton","2024","1637","2479","0.0745085261214293"
"Brighton","2025","1626","2459","0.0731174582709045"
"Charlestown","1980","703","2437","0.234959592936247"
"Charlestown","1990","861","1541","0.165108605993951"
"Charlestown","2000","842","1982","0.185850608752879"
"Charlestown","2010","1094","1591","0.163331102865138"
"Charlestown","2020","1355","2104","0.177500196724346"
"Charlestown","2024","1317","1927","0.168257261410788"
"Charlestown","2025","1302","1900","0.16649253337884"
"Chinatown","1980","153","430","0.189902280130293"
"Chinatown","1990","145","343","0.17397504456328"
"Chinatown","2000","86","244","0.108125819134993"
"Chinatown","2010","106","225","0.0814468503937008"
"Chinatown","2020","220","514","0.114184372663691"
"Chinatown","2024","213","441","0.102765556253928"
"Chinatown","2025","210","440","0.102024799874431"
"Dorchester","1980","8492","26230","0.317171200467691"
"Dorchester","1990","10052","21642","0.282649020796918"
"Dorchester","2000","8833","26798","0.299735015772871"
"Dorchester","2010","7918","20912","0.252343565370375"
"Dorchester","2020","7002","19824","0.215300033178276"
"Dorchester","2024","5500","18679","0.197282963446475"
"Dorchester","2025","5532","18823","0.197917434014892"
"Downtown","1980","145","345","0.112981323495504"
"Downtown","1990","166","295","0.096061679516566"
"Downtown","2000","181","391","0.0824563932535678"
"Downtown","2010","304","394","0.0671282939026736"
"Downtown","2020","325","468","0.0556232151138048"
"Downtown","2024","405","436","0.0534069981583794"
"Downtown","2025","402","447","0.0538979177247334"
"East Boston","1980","1641","5530","0.222854123935608"
"East Boston","1990","2287","4376","0.202276867030965"
"East Boston","2000","2734","6315","0.235571290969203"
"East Boston","2010","3091","5934","0.222795497185741"
"East Boston","2020","2266","5974","0.186282898359013"
"East Boston","2024","2259","6017","0.179768447118622"
"East Boston","2025","2294","5987","0.176597272319605"
"Fenway","1980","288","676","0.0362188157499249"
"Fenway","1990","460","570","0.0346836380779203"
"Fenway","2000","242","429","0.022251699552313"
"Fenway","2010","316","368","0.0201312652676811"
"Fenway","2020","487","569","0.0263118082501528"
"Fenway","2024","514","372","0.0212276582490776"
"Fenway","2025","519","363","0.0208271135015834"
"Hyde Park","1980","1881","5586","0.245956717941961"
"Hyde Park","1990","2335","4626","0.228499212184874"
"Hyde Park","2000","2217","6154","0.261512027491409"
"Hyde Park","2010","1912","5678","0.23486090911904"
"Hyde Park","2020","1684","5119","0.199221850696394"
"Hyde Park","2024","1386","4814","0.185795624812706"
"Hyde Park","2025","1397","4855","0.186799667631642"
"Jamaica Plain","1980","2537","7020","0.252630187681734"
"Jamaica Plain","1990","2886","5757","0.22320644594804"
"Jamaica Plain","2000","2052","5566","0.207332008818006"
"Jamaica Plain","2010","2197","4121","0.173776714250351"
"Jamaica Plain","2020","2131","3842","0.143234734666932"
"Jamaica Plain","2024","2113","3504","0.131545667447307"
"Jamaica Plain","2025","2146","3495","0.131342909654076"
"Longwood","1980","91","277","0.118518518518519"
"Longwood","1990","65","166","0.088743757203227"
"Longwood","2000","115","266","0.0974923234390993"
"Longwood","2010","35","99","0.0275663443735857"
"Longwood","2020","18","26","0.00802094558082701"
"Longwood","2024","21","26","0.00845171731702931"
"Longwood","2025","21","30","0.00918422474338196"
"Mattapan","1980","1672","5579","0.317636236201156"
"Mattapan","1990","1970","4808","0.281970213828105"
"Mattapan","2000","1837","5316","0.294362139917695"
"Mattapan","2010","1433","4092","0.245555555555556"
"Mattapan","2020","1349","3978","0.223447986577181"
"Mattapan","2024","1231","3947","0.214090796328454"
"Mattapan","2025","1263","4068","0.218268915820504"
"Mission Hill","1980","746","1987","0.206716587247561"
"Mission Hill","1990","1020","1920","0.199267995119967"
"Mission Hill","2000","467","1413","0.137106184364061"
"Mission Hill","2010","523","1372","0.119249889874772"
"Mission Hill","2020","589","1333","0.102226323758864"
"Mission Hill","2024","496","1066","0.0822538177988415"
"Mission Hill","2025","540","1025","0.0823684210526316"
"North End","1980","171","809","0.103769589157137"
"North End","1990","187","268","0.049258417235033"
"North End","2000","200","235","0.0458473861720067"
"North End","2010","194","239","0.0427105938054843"
"North End","2020","218","351","0.0514978745182694"
"North End","2024","199","256","0.0427029563585171"
"North End","2025","182","250","0.0406205771055657"
"Roslindale","1980","1676","4909","0.22462136717151"
"Roslindale","1990","2215","3721","0.206397774687065"
"Roslindale","2000","1911","5029","0.229527715306257"
"Roslindale","2010","1861","4226","0.21381902487003"
"Roslindale","2020","1745","4008","0.193883531005114"
"Roslindale","2024","1567","3726","0.181310588154695"
"Roslindale","2025","1580","3682","0.179113492575485"
"Roxbury","1980","3617","10717","0.328558003071492"
"Roxbury","1990","4195","9180","0.303322372151038"
"Roxbury","2000","3178","9357","0.294428524451543"
"Roxbury","2010","3320","8541","0.240334738207165"
"Roxbury","2020","2971","8410","0.203492774505415"
"Roxbury","2024","2908","7594","0.185866237190946"
"Roxbury","2025","2901","7647","0.185702610276898"
"South Boston","1980","1582","5177","0.224365145228216"
"South Boston","1990","1684","3627","0.182445894881484"
"South Boston","2000","1485","3894","0.182295726437794"
"South Boston","2010","1444","2969","0.138839075035394"
"South Boston","2020","1722","2581","0.107861733259766"
"South Boston","2024","1667","2241","0.0951476639154676"
"South Boston","2025","1617","2228","0.0940001271263098"
"South Boston Waterfront","1980","13","26","0.204188481675393"
"South Boston Waterfront","1990","15","22","0.130281690140845"
"South Boston Waterfront","2000","16","31","0.109048723897912"
"South Boston Waterfront","2010","50","52","0.053996823716252"
"South Boston Waterfront","2020","147","146","0.0470345629564198"
"South Boston Waterfront","2024","354","141","0.0603805806294218"
"South Boston Waterfront","2025","395","132","0.0635781211639743"
"South End","1980","989","2881","0.173255137216278"
"South End","1990","1065","2357","0.143090110809116"
"South End","2000","854","2077","0.121065675340768"
"South End","2010","1317","2050","0.123080859774821"
"South End","2020","1372","2217","0.110110090096722"
"South End","2024","1453","1984","0.0994876544996671"
"South End","2025","1441","1971","0.0986644879620526"
"West End","1980","80","172","0.0578778135048231"
"West End","1990","106","71","0.0484798685291701"
"West End","2000","162","185","0.0737670068027211"
"West End","2010","189","156","0.0636179236584916"
"West End","2020","293","314","0.0696048600438796"
"West End","2024","319","256","0.0622361727459682"
"West End","2025","308","246","0.0595314549970085"
"West Roxbury","1980","1319","4447","0.184023234289726"
"West Roxbury","1990","1685","3035","0.158890459839763"
"West Roxbury","2000","1918","3761","0.197509825061733"
"West Roxbury","2010","2138","4188","0.207784529479389"
"West Roxbury","2020","1813","4291","0.192056166546506"
"West Roxbury","2024","1606","3659","0.168701336153033"
"West Roxbury","2025","1598","3662","0.167617348076862"
