"Topic: Housing Units",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2021, 2022, 2023, 2024, 2025",,,,
,,,,
"Source: U.S. Census Bureau, 1950-2020 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; for years beyond 2020, data are based on 2020 Census plus annual housing completions from Mayor's Office of Housing",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Occupied","Vacant","Total housing units"
"Allston","1950","6408","83","6491"
"Allston","1960","6779","319","7098"
"Allston","1970","7437","321","7758"
"Allston","1980","8397","641","9038"
"Allston","1990","8869","512","9381"
"Allston","2000","9163","131","9294"
"Allston","2010","9606","343","9949"
"Allston","2020","10027","721","10748"
"Allston","2021","10071","724","10795"
"Allston","2022","10268","740","11008"
"Allston","2023","10383","750","11133"
"Allston","2024","10781","774","11555"
"Allston","2025","11158","600","11758"
"Back Bay","1950","6356","233","6589"
"Back Bay","1960","8741","637","9378"
"Back Bay","1970","9206","782","9988"
"Back Bay","1980","10043","1051","11094"
"Back Bay","1990","9670","1230","10900"
"Back Bay","2000","10053","739","10792"
"Back Bay","2010","9829","1510","11339"
"Back Bay","2020","10006","1518","11524"
"Back Bay","2021","9998","1517","11515"
"Back Bay","2022","10005","1519","11524"
"Back Bay","2023","9989","1517","11506"
"Back Bay","2024","10172","1551","11723"
"Back Bay","2025","10166","1546","11712"
"Beacon Hill","1950","4532","178","4710"
"Beacon Hill","1960","6097","488","6585"
"Beacon Hill","1970","6084","461","6545"
"Beacon Hill","1980","5965","496","6461"
"Beacon Hill","1990","5534","687","6221"
"Beacon Hill","2000","5620","427","6047"
"Beacon Hill","2010","5450","563","6013"
"Beacon Hill","2020","5483","552","6035"
"Beacon Hill","2021","5539","556","6095"
"Beacon Hill","2022","5526","554","6080"
"Beacon Hill","2023","5520","553","6073"
"Beacon Hill","2024","5516","553","6069"
"Beacon Hill","2025","5511","565","6076"
"Brighton","1950","14707","178","14885"
"Brighton","1960","15958","470","16428"
"Brighton","1970","17109","457","17566"
"Brighton","1980","19730","783","20513"
"Brighton","1990","20558","923","21481"
"Brighton","2000","21342","352","21694"
"Brighton","2010","21004","959","21963"
"Brighton","2020","22535","1118","23653"
"Brighton","2021","22685","1140","23825"
"Brighton","2022","23220","1207","24427"
"Brighton","2023","23515","1223","24738"
"Brighton","2024","24008","1277","25285"
"Brighton","2025","24644","1161","25805"
"Charlestown","1950","6738","219","6957"
"Charlestown","1960","5978","465","6443"
"Charlestown","1970","4818","301","5119"
"Charlestown","1980","5252","870","6122"
"Charlestown","1990","6841","911","7752"
"Charlestown","2000","7350","405","7755"
"Charlestown","2010","8033","615","8648"
"Charlestown","2020","8932","593","9525"
"Charlestown","2021","8954","596","9550"
"Charlestown","2022","9054","602","9656"
"Charlestown","2023","9059","604","9663"
"Charlestown","2024","9047","603","9650"
"Charlestown","2025","9010","647","9657"
"Chinatown","1950","606","23","629"
"Chinatown","1960","973","103","1076"
"Chinatown","1970","656","99","755"
"Chinatown","1980","1144","128","1272"
"Chinatown","1990","1219","145","1364"
"Chinatown","2000","1126","58","1184"
"Chinatown","2010","1478","205","1683"
"Chinatown","2020","2937","335","3272"
"Chinatown","2021","2937","335","3272"
"Chinatown","2022","2937","335","3272"
"Chinatown","2023","3086","353","3439"
"Chinatown","2024","3088","353","3441"
"Chinatown","2025","3063","386","3449"
"Dorchester","1950","43452","445","43897"
"Dorchester","1960","44298","1572","45870"
"Dorchester","1970","43208","2992","46200"
"Dorchester","1980","36834","5167","42001"
"Dorchester","1990","37745","4116","41861"
"Dorchester","2000","40589","2368","42957"
"Dorchester","2010","41237","3903","45140"
"Dorchester","2020","44823","3142","47965"
"Dorchester","2021","44948","3150","48098"
"Dorchester","2022","45266","3169","48435"
"Dorchester","2023","45437","3183","48620"
"Dorchester","2024","46073","3228","49301"
"Dorchester","2025","45798","3767","49565"
"Downtown","1950","774","38","812"
"Downtown","1960","1864","235","2099"
"Downtown","1970","1014","126","1140"
"Downtown","1980","2257","211","2468"
"Downtown","1990","2518","471","2989"
"Downtown","2000","3222","285","3507"
"Downtown","2010","4623","798","5421"
"Downtown","2020","5384","1220","6604"
"Downtown","2021","5657","1335","6992"
"Downtown","2022","5696","1352","7048"
"Downtown","2023","5696","1352","7048"
"Downtown","2024","5979","1396","7375"
"Downtown","2025","6152","1224","7376"
"East Boston","1950","13688","255","13943"
"East Boston","1960","13294","696","13990"
"East Boston","1970","12853","856","13709"
"East Boston","1980","12955","1608","14563"
"East Boston","1990","13417","1393","14810"
"East Boston","2000","14326","752","15078"
"East Boston","2010","14651","1203","15854"
"East Boston","2020","16664","1316","17980"
"East Boston","2021","16765","1329","18094"
"East Boston","2022","17202","1377","18579"
"East Boston","2023","17705","1412","19117"
"East Boston","2024","17855","1421","19276"
"East Boston","2025","18268","1481","19749"
"Fenway","1950","9800","152","9952"
"Fenway","1960","10468","672","11140"
"Fenway","1970","10793","865","11658"
"Fenway","1980","10564","928","11492"
"Fenway","1990","11381","1316","12697"
"Fenway","2000","11857","443","12300"
"Fenway","2010","12883","669","13552"
"Fenway","2020","13272","1352","14624"
"Fenway","2021","13553","1393","14946"
"Fenway","2022","13578","1396","14974"
"Fenway","2023","14001","1426","15427"
"Fenway","2024","14001","1426","15427"
"Fenway","2025","14674","1121","15795"
"Hyde Park","1950","6732","106","6838"
"Hyde Park","1960","8106","210","8316"
"Hyde Park","1970","10803","244","11047"
"Hyde Park","1980","10777","439","11216"
"Hyde Park","1990","11407","531","11938"
"Hyde Park","2000","11619","400","12019"
"Hyde Park","2010","11712","769","12481"
"Hyde Park","2020","12469","578","13047"
"Hyde Park","2021","12480","578","13058"
"Hyde Park","2022","12510","578","13088"
"Hyde Park","2023","12532","579","13111"
"Hyde Park","2024","12548","579","13127"
"Hyde Park","2025","12527","701","13228"
"Jamaica Plain","1950","13616","202","13818"
"Jamaica Plain","1960","14050","550","14600"
"Jamaica Plain","1970","14294","849","15143"
"Jamaica Plain","1980","13536","1565","15101"
"Jamaica Plain","1990","14288","1392","15680"
"Jamaica Plain","2000","14584","794","15378"
"Jamaica Plain","2010","15327","887","16214"
"Jamaica Plain","2020","17392","1141","18533"
"Jamaica Plain","2021","17656","1183","18839"
"Jamaica Plain","2022","17723","1186","18909"
"Jamaica Plain","2023","17908","1196","19104"
"Jamaica Plain","2024","18098","1207","19305"
"Jamaica Plain","2025","18411","1134","19545"
"Longwood","1950","785","24","809"
"Longwood","1960","1069","48","1117"
"Longwood","1970","816","104","920"
"Longwood","1980","461","281","742"
"Longwood","1990","453","118","571"
"Longwood","2000","658","9","667"
"Longwood","2010","395","21","416"
"Longwood","2020","317","49","366"
"Longwood","2021","317","49","366"
"Longwood","2022","317","49","366"
"Longwood","2023","317","49","366"
"Longwood","2024","317","49","366"
"Longwood","2025","332","34","366"
"Mattapan","1950","6159","57","6216"
"Mattapan","1960","6969","136","7105"
"Mattapan","1970","8280","320","8600"
"Mattapan","1980","7588","644","8232"
"Mattapan","1990","7745","610","8355"
"Mattapan","2000","8335","328","8663"
"Mattapan","2010","8349","763","9112"
"Mattapan","2020","8820","525","9345"
"Mattapan","2021","8824","525","9349"
"Mattapan","2022","9017","537","9554"
"Mattapan","2023","9221","546","9767"
"Mattapan","2024","9275","550","9825"
"Mattapan","2025","9173","690","9863"
"Mission Hill","1950","5458","68","5526"
"Mission Hill","1960","5330","389","5719"
"Mission Hill","1970","5412","512","5924"
"Mission Hill","1980","4940","1374","6314"
"Mission Hill","1990","5600","505","6105"
"Mission Hill","2000","5455","174","5629"
"Mission Hill","2010","6125","237","6362"
"Mission Hill","2020","6668","287","6955"
"Mission Hill","2021","6697","289","6986"
"Mission Hill","2022","6816","295","7111"
"Mission Hill","2023","6848","297","7145"
"Mission Hill","2024","6891","299","7190"
"Mission Hill","2025","6914","281","7195"
"North End","1950","4526","106","4632"
"North End","1960","4034","337","4371"
"North End","1970","4050","265","4315"
"North End","1980","4718","501","5219"
"North End","1990","5469","632","6101"
"North End","2000","5847","460","6307"
"North End","2010","6065","659","6724"
"North End","2020","6314","518","6832"
"North End","2021","6317","518","6835"
"North End","2022","6336","520","6856"
"North End","2023","6361","521","6882"
"North End","2024","6359","521","6880"
"North End","2025","6286","599","6885"
"Roslindale","1950","8459","91","8550"
"Roslindale","1960","9199","158","9357"
"Roslindale","1970","10508","215","10723"
"Roslindale","1980","10420","444","10864"
"Roslindale","1990","10680","662","11342"
"Roslindale","2000","11318","366","11684"
"Roslindale","2010","11273","769","12042"
"Roslindale","2020","11682","595","12277"
"Roslindale","2021","11707","596","12303"
"Roslindale","2022","11767","598","12365"
"Roslindale","2023","11820","600","12420"
"Roslindale","2024","11872","602","12474"
"Roslindale","2025","11869","704","12573"
"Roxbury","1950","28110","498","28608"
"Roxbury","1960","23026","2723","25749"
"Roxbury","1970","16295","2308","18603"
"Roxbury","1980","15882","2685","18567"
"Roxbury","1990","16229","2175","18404"
"Roxbury","2000","15791","1641","17432"
"Roxbury","2010","18180","1563","19743"
"Roxbury","2020","20017","1662","21679"
"Roxbury","2021","20104","1670","21774"
"Roxbury","2022","20288","1693","21981"
"Roxbury","2023","20427","1700","22127"
"Roxbury","2024","20644","1715","22359"
"Roxbury","2025","20747","1755","22502"
"South Boston","1950","14624","338","14962"
"South Boston","1960","13542","859","14401"
"South Boston","1970","13255","855","14110"
"South Boston","1980","12506","1407","13913"
"South Boston","1990","12932","1653","14585"
"South Boston","2000","13812","973","14785"
"South Boston","2010","15258","1277","16535"
"South Boston","2020","17961","1179","19140"
"South Boston","2021","18108","1189","19297"
"South Boston","2022","18339","1203","19542"
"South Boston","2023","18564","1219","19783"
"South Boston","2024","18937","1243","20180"
"South Boston","2025","18854","1397","20251"
"South Boston Waterfront","1950","196","15","211"
"South Boston Waterfront","1960","130","20","150"
"South Boston Waterfront","1970","108","19","127"
"South Boston Waterfront","1980","83","24","107"
"South Boston Waterfront","1990","136","49","185"
"South Boston Waterfront","2000","218","19","237"
"South Boston Waterfront","2010","956","125","1081"
"South Boston Waterfront","2020","3623","998","4621"
"South Boston Waterfront","2021","4300","1202","5502"
"South Boston Waterfront","2022","4300","1202","5502"
"South Boston Waterfront","2023","4299","1202","5501"
"South Boston Waterfront","2024","4299","1202","5501"
"South Boston Waterfront","2025","4682","932","5614"
"South End","1950","11308","413","11721"
"South End","1960","15490","2852","18342"
"South End","1970","8162","1483","9645"
"South End","1980","10053","1430","11483"
"South End","1990","11235","1587","12822"
"South End","2000","12703","784","13487"
"South End","2010","14423","979","15402"
"South End","2020","16152","1446","17598"
"South End","2021","16153","1447","17600"
"South End","2022","16811","1538","18349"
"South End","2023","17247","1586","18833"
"South End","2024","17566","1646","19212"
"South End","2025","17811","1403","19214"
"West End","1950","3789","138","3927"
"West End","1960","745","49","794"
"West End","1970","1808","277","2085"
"West End","1980","2296","84","2380"
"West End","1990","2133","236","2369"
"West End","2000","2457","185","2642"
"West End","2010","2882","379","3261"
"West End","2020","4572","671","5243"
"West End","2021","4572","671","5243"
"West End","2022","4963","750","5713"
"West End","2023","4963","750","5713"
"West End","2024","4963","750","5713"
"West End","2025","5014","697","5711"
"West Roxbury","1950","7266","116","7382"
"West Roxbury","1960","8544","141","8685"
"West Roxbury","1970","10606","115","10721"
"West Roxbury","1980","12055","226","12281"
"West Roxbury","1990","12405","545","12950"
"West Roxbury","2000","12083","314","12397"
"West Roxbury","2010","12960","586","13546"
"West Roxbury","2020","13323","667","13990"
"West Roxbury","2021","13344","668","14012"
"West Roxbury","2022","13402","672","14074"
"West Roxbury","2023","13679","688","14367"
"West Roxbury","2024","13793","694","14487"
"West Roxbury","2025","13917","671","14588"
